Parceiro;Procedimento;Valor_particular;Valor_repasse;Data da atualização;Valor_venda;Valor_Promoção;Sem_Nota;CÓDIGO
Anestesista Mateus;Mastopexia Com Prótese; R$ 2.860,00 ; R$ 2.860,00 ;15/05/2025;;;;Anestesista MateusMastopexia Com Prótese
Anestesista Mateus;Mamoplastia Redutora; R$ 2.530,00 ; R$ 2.530,00 ;15/05/2025;;;;Anestesista MateusMamoplastia Redutora
Anestesista Mateus;Mini Abdome com Lipo de Flancos; R$ 1.925,00 ; R$ 1.925,00 ;22/05/2025;;;;Anestesista MateusMini Abdome com Lipo de Flancos
Anestesista Mateus;Mamoplastia + Lipoescultura; R$ 3.850,00 ; R$ 3.850,00 ;22/05/2025;;;;Anestesista MateusMamoplastia + Lipoescultura
Anestesista Mateus;Mamoplastia + Abdome + Lipoescultura; R$ 5.005,00 ; R$ 5.005,00 ;22/05/2025;;;;Anestesista MateusMamoplastia + Abdome + Lipoescultura
Anestesista Mateus;Mini Lipo; R$ 1.650,00 ; R$ 1.650,00 ;22/05/2025;;;;Anestesista MateusMini Lipo
Anestesista Mateus;Mama com Prótese + Lipoescultura + Abdome; R$ 5.335,00 ; R$ 5.335,00 ;22/05/2025;;;;Anestesista MateusMama com Prótese + Lipoescultura + Abdome
Anestesista Mateus;Abdome + Lipoescultura + Enxertia; R$ 3.762,00 ; R$ 3.762,00 ;15/05/2025;;;;Anestesista MateusAbdome + Lipoescultura + Enxertia
Anestesista Mateus;Abdominoplastia; R$ 2.255,00 ; R$ 2.255,00 ;15/05/2025;;;;Anestesista MateusAbdominoplastia
Anestesista Mateus;Abdominoplastia + Lipo De Cintura Sem Enxertia; R$ 2.915,00 ; R$ 2.915,00 ;15/05/2025;;;;Anestesista MateusAbdominoplastia + Lipo De Cintura Sem Enxertia
Anestesista Mateus;Abdominoplastia + Lipo De Cintura + Enxertia; R$ 3.080,00 ; R$ 3.080,00 ;15/05/2025;;;;Anestesista MateusAbdominoplastia + Lipo De Cintura + Enxertia
Anestesista Mateus;Abdominoplastia + Lipo De Cintura + Costa; R$ 3.762,00 ; R$ 3.762,00 ;15/05/2025;;;;Anestesista MateusAbdominoplastia + Lipo De Cintura + Costa
Anestesista Mateus;Abdominoplastia + Lipo Média+ Hérnia; R$ 4.412,00 ; R$ 4.412,00 ;15/05/2025;;;;Anestesista MateusAbdominoplastia + Lipo Média+ Hérnia
Anestesista Mateus;Abdominoplastia + Ninfoplastia; R$ 2.255,00 ; R$ 2.255,00 ;15/05/2025;;;;Anestesista MateusAbdominoplastia + Ninfoplastia
Anestesista Mateus;Abdominoplastia + Hérnia; R$ 2.255,00 ; R$ 2.255,00 ;15/05/2025;;;;Anestesista MateusAbdominoplastia + Hérnia
Anestesista Mateus;Abdominoplastia + Ninfoplastia (com lipo de cintura e sem enxertia); R$ 3.916,00 ; R$ 3.916,00 ;22/05/2025;;;;Anestesista MateusAbdominoplastia + Ninfoplastia (com lipo de cintura e sem enxertia)
Anestesista Mateus;Abdominoplastia + Hérnia (com lipo de cintura e sem enxertia); R$ 3.565,00 ; R$ 3.565,00 ;22/05/2025;;;;Anestesista MateusAbdominoplastia + Hérnia (com lipo de cintura e sem enxertia)
Anestesista Mateus;Rinoplastia; R$ 2.288,00 ; R$ 2.288,00 ;15/05/2025;;;;Anestesista MateusRinoplastia
